name;field;year_birth;year_prize;year_research_mid;year_death;TheoryOrTheoryAndEmpirical;age_highdegree
Van'T Hoff, Jacobus Henricus;Chemistry;1852;1901;1885;1911;1;22
Fischer, Hermann Emil;Chemistry;1852;1902;1895;1919;0;22
Arrhenius, Svante August;Chemistry;1859;1903;1884;1927;1;25
Ramsay, Sir William;Chemistry;1852;1904;1894;1916;0;20
Von Baeyer, Johann;Chemistry;1835;1905;1873;1917;0;23
Moissan, Henri;Chemistry;1852;1906;1898;1907;0;28
Buchner, Eduard;Chemistry;1860;1907;1897;1917;0;28
Rutherford, Ernest;Chemistry;1871;1908;1902;1937;1;23
Ostwald, Wilhelm;Chemistry;1853;1909;1894;1932;0;25
Wallach, Otto;Chemistry;1847;1910;1884;1931;0;22
Curie, Marie;Chemistry;1867;1911;1910;1934;0;36
Grignard, Victor;Chemistry;1871;1912;1900;1935;0;30
Sabatier, Paul;Chemistry;1854;1912;1897;1941;0;26
Werner, Alfred;Chemistry;1866;1913;1892;1919;1;24
Richards, Theodore;Chemistry;1868;1914;1900;1928;0;20
Willstatter, Richard;Chemistry;1872;1915;1913;1942;0;22
Haber, Fritz;Chemistry;1868;1918;1905;1934;0;28
Nernst, Walther;Chemistry;1864;1920;1906;1941;1;23
Soddy, Frederick;Chemistry;1877;1921;1909;1956;0;21
Aston, Francis William;Chemistry;1877;1922;1919;1945;0;19
Pregl, Fritz;Chemistry;1869;1923;1911;1930;0;25
Zsigmondy, Richard;Chemistry;1865;1925;1903;1929;0;26
Svedberg, Theodore;Chemistry;1884;1926;1913;1971;0;24
Wieland, Heinrich;Chemistry;1877;1927;1932;1957;0;24
Windaus, Adolf;Chemistry;1876;1928;1919;1958;0;24
Harden, Arthur;Chemistry;1865;1929;1911;1940;0;23
von Euler-Chelpin, Hans;Chemistry;1873;1929;1914;1964;0;22
Fischer, Hans;Chemistry;1881;1930;1929;1945;0;27
Bergius, Friedrich;Chemistry;1884;1931;1912;1949;0;23
Bosch, Carl;Chemistry;1874;1931;1910;1940;0;24
Langmuir, Irving;Chemistry;1881;1932;1916;1957;1;25
Urey, Harold;Chemistry;1893;1934;1931;1981;1;30
Joliot, Frederic;Chemistry;1900;1935;1934;1958;0;30
Joliot-Curie, Irene;Chemistry;1897;1935;1934;1956;0;28
Debye, Peter;Chemistry;1884;1936;1923;1966;1;24
Haworth, Norman;Chemistry;1883;1937;1927;1950;0;27
Karrer, Paul;Chemistry;1889;1937;1930;1971;0;22
Kuhn, Richard;Chemistry;1900;1938;1933;1967;0;22
Butenandt, Adolf;Chemistry;1903;1939;1934;1995;0;14
Ruzicka, Leopold;Chemistry;1887;1939;1925;1976;0;23
de Hevesy, George;Chemistry;1885;1943;1934;1966;0;23
Hahn, Otto;Chemistry;1879;1944;1938;1968;0;22
Virtanen, Artturri;Chemistry;1895;1945;1932;1973;0;23
Northrop, John;Chemistry;1891;1946;1929;1987;0;24
Stanley, Wendell;Chemistry;1904;1946;1935;1971;0;25
Sumner, James;Chemistry;1887;1946;1926;1955;0;27
Robinson, Sir Robert;Chemistry;1886;1947;1925;1975;0;24
Tiselius, Arne;Chemistry;1902;1948;1937;1971;0;28
Giauque, William;Chemistry;1895;1949;1933;1982;1;27
Alder, Kurt;Chemistry;1902;1950;1928;1958;0;24
Diels, Otto;Chemistry;1876;1950;1928;1954;0;23
McMillan, Edwin;Chemistry;1907;1951;1941;1991;0;25
Seaborg, Glenn;Chemistry;1912;1951;1942;1999;0;25
Martin, Archer;Chemistry;1910;1952;1941;2002;0;26
Synge, Richard;Chemistry;1914;1952;1941;1994;0;27
Staudinger, Hermann;Chemistry;1881;1953;1922;1965;1;22
Pauling, Linus;Chemistry;1901;1954;1939;1994;1;24
du Vigneaud, Vincent;Chemistry;1901;1955;1953;1978;0;26
Hinshelwood, Norman;Chemistry;1897;1956;1930;1967;0;24
Semenov, Nikolay;Chemistry;1896;1956;1934;1986;1;21
Todd, Lord Alexander;Chemistry;1907;1957;1949;1997;0;24
Sanger, Frederick;Chemistry;1918;1958;1955;;0;25
Heyrovsky, Jaroslav;Chemistry;1890;1959;1922;1967;0;28
Libby, Willard;Chemistry;1908;1960;1947;1980;1;25
Calvin, Melvin;Chemistry;1911;1961;1948;1997;0;24
Kendrew, John;Chemistry;1917;1962;1957;1997;0;22
Perutz, Max;Chemistry;1914;1962;1953;2002;0;26
Natta, Giulio;Chemistry;1903;1963;1953;1979;0;21
Ziegler, Karl;Chemistry;1898;1963;1953;1973;0;22
Hodgkin, Dorothy;Chemistry;1910;1964;1951;1994;0;22
Woodward, Robert;Chemistry;1917;1965;1958;1979;0;20
Mulliken, Robert;Chemistry;1896;1966;1925;1986;1;25
Eigen, Manfred;Chemistry;1927;1967;1953;;1;24
Norrish, Ronald;Chemistry;1897;1967;1949;1978;0;27
Porter, George;Chemistry;1920;1967;1949;2002;0;29
Onsager, Lars;Chemistry;1903;1968;1931;1976;1;32
Barton, Derek;Chemistry;1918;1969;1950;1998;0;24
Hassel, Odd;Chemistry;1897;1969;1934;1981;0;27
Leloir, Luis;Chemistry;1906;1970;1955;1987;0;26
Herzberg, Gerhard;Chemistry;1904;1971;1959;1999;0;24
Anfinsen, Christian;Chemistry;1916;1972;1956;1995;0;27
Moore, Stanford;Chemistry;1913;1972;1956;1982;0;26
Stein, William;Chemistry;1911;1972;1956;1980;0;26
Fischer, Ernst;Chemistry;1918;1973;1951;;0;34
Wilkinson, Geoffrey;Chemistry;1921;1973;1951;1996;0;21
Flory, Paul;Chemistry;1910;1974;1953;1985;1;24
Cornforth, John;Chemistry;1917;1975;1967;;0;24
Prelog, Vladimir;Chemistry;1906;1975;1956;1998;0;23
Lipscomb, William;Chemistry;1919;1976;1963;;1;27
Prigogine, Ilya;Chemistry;1917;1977;1969;2003;1;24
Mitchell, Peter;Chemistry;1920;1978;1965;1992;1;31
Brown, Herbert;Chemistry;1912;1979;1956;;0;26
Wittig, Georg;Chemistry;1897;1979;1953;1987;0;29
Berg, Paul;Chemistry;1926;1980;1960;;0;26
Gilbert, Walter;Chemistry;1932;1980;1966;;0;25
Fukui, Kenichi;Chemistry;1918;1981;1952;1998;1;30
Hoffmann, Roald;Chemistry;1937;1981;1964;;1;25
Klug, Aaron;Chemistry;1926;1982;1971;;0;27
Taube, Henry;Chemistry;1915;1983;1964;;0;25
Merrifield, Bruce;Chemistry;1921;1984;1969;;0;28
Hauptman, Herbert;Chemistry;1917;1985;1953;;1;37
Karle, Jerome;Chemistry;1918;1985;1953;;1;25
Herschbach, Dudley;Chemistry;1932;1986;1967;;0;26
Lee, Yuan;Chemistry;1936;1986;1967;;0;29
Polanyi, John;Chemistry;1929;1986;1960;;0;23
Cram, Donald;Chemistry;1919;1987;1978;2001;0;28
Lehn, Jean-Marie;Chemistry;1939;1987;1969;;0;24
Pedersen, John;Chemistry;1904;1987;1967;1989;0;23
Deisenhofer, Johann;Chemistry;1943;1988;1983;;0;31
Huber, Robert;Chemistry;1937;1988;1983;;0;26
Michel, Hartmut;Chemistry;1948;1988;1982;;0;29
Altman, Sidney;Chemistry;1939;1989;1982;;0;28
Cech, Thomas;Chemistry;1947;1989;1982;;0;28
Corey, Elias James;Chemistry;1928;1990;1954;;0;22
Ernst, Richard;Chemistry;1933;1991;1966;;1;29
Marcus, Rudolf;Chemistry;1923;1992;1964;;1;23
Mullis, Kary;Chemistry;1944;1993;1983;;0;29
Smith, Michael;Chemistry;1932;1993;1976;;0;24
Olah, George;Chemistry;1927;1994;1962;;0;22
Crutzen, Paul;Chemistry;1933;1995;1970;;0;35
Molina, Mario;Chemistry;1943;1995;1974;;0;29
Rowland, F. Sherwood;Chemistry;1927;1995;1970;;0;25
Curl, Robert;Chemistry;1933;1996;1985;;0;24
Kroto, Harold;Chemistry;1939;1996;1985;;0;25
Smalley, Richard;Chemistry;1943;1996;1985;;0;30
Boyer, Paul;Chemistry;1918;1997;1972;;0;25
Skou, Jens;Chemistry;1918;1997;1957;;0;26
Walker, John;Chemistry;1941;1997;1986;;0;28
Kohn, Walter;Chemistry;1923;1998;1964;;1;25
Pople, John;Chemistry;1925;1998;1967;2004;1;26
Zewail, Ahmed;Chemistry;1946;1999;1987;;0;28
Heeger, Alan;Chemistry;1936;2000;1977;;0;25
MacDiarmid, Alan;Chemistry;1927;2000;1977;;0;26
Shirakawa, Hideki;Chemistry;1936;2000;1977;;0;30
Knowles, William;Chemistry;1917;2001;1968;;0;25
Noyori, Ryoji;Chemistry;1938;2001;1980;;0;29
Sharpless, Karl Barry;Chemistry;1941;2001;1980;;0;27
Fenn, John;Chemistry;1917;2002;1988;;1;23
Tanaka, Koichi;Chemistry;1959;2002;1986;;0;24
Wuthrich, Kurt;Chemistry;1938;2002;1979;;0;26
Agre, Peter;Chemistry;1949;2003;1991;;0;25
MacKinnon, Roderick;Chemistry;1956;2003;1998;;0;26
Ciechanover, Aaron;Chemistry;1947;2004;1983;;0;27
Hershko, Avram;Chemistry;1937;2004;1983;;0;28
Rose, Irwin;Chemistry;1926;2004;1983;;0;26
Chauvin, Yves;Chemistry;1930;2005;1971;;0;24
Grubbs, Robert H.;Chemistry;1942;2005;1992;;0;26
Schrock, Richard R.;Chemistry;1945;2005;1990;;0;26
Kornberg, Roger D.;Chemistry;1947;2006;2001;;0;25
Ertl, Gerhard;Chemistry;1936;2007;1974;;0;29
Chalfie, Martin;Chemistry;1947;2008;1994;;0;30
Shimomura, Osamu;Chemistry;1928;2008;1962;;0;32
Tsien, Roger Y.;Chemistry;1952;2008;1996;;0;25
von Behring, Emil;Medicine;1854;1901;1890;1917;0;26
Ross, Ronald;Medicine;1857;1902;1897;1932;0;22
Finsen, Niels Ryberg;Medicine;1860;1903;1895;1904;0;30
Pavlov, Ivan;Medicine;1849;1904;1895;1936;0;34
Koch, Robert;Medicine;1843;1905;1882;1910;0;23
Cajal, Santiago Ramon y;Medicine;1852;1906;1889;1934;1;25
Golgi, Camillo;Medicine;1843;1906;1890;1926;0;22
Laveran, Alphonse;Medicine;1845;1907;1884;1922;0;22
Ehrlich, Paul;Medicine;1854;1908;1896;1915;0;24
Mechnikov, Ilya;Medicine;1845;1908;1883;1916;0;22
Kocher, Theodor;Medicine;1841;1909;1883;1917;0;24
Kossel, Albrecht;Medicine;1853;1910;1881;1927;0;25
Gullstrand, Allvar;Medicine;1862;1911;1903;1930;0;28
Carrel, Alexis;Medicine;1873;1912;1902;1944;0;27
Richet, Charles;Medicine;1850;1913;1902;1935;0;28
Barany, Robert;Medicine;1876;1914;1905;1936;0;24
Bordet, Jules;Medicine;1870;1919;1900;1961;0;22
Krogh, August;Medicine;1874;1920;1910;1949;0;29
Hill, Archibald, V.;Medicine;1886;1922;1912;1977;0;21
Meyerhof, Otto;Medicine;1884;1922;1919;1951;0;25
Banting, Frederick G.;Medicine;1891;1923;1920;1941;0;31
Macleod, John;Medicine;1876;1923;1920;1935;0;22
Einthoven, Willem;Medicine;1860;1924;1910;1927;0;25
Fibiger, Johannes;Medicine;1867;1926;1910;1928;0;23
Wagner-Jauregg, Julius;Medicine;1857;1927;1917;1940;0;23
Nicolle, Charles;Medicine;1866;1928;1909;1935;1;27
Eijkman, Christiaan;Medicine;1858;1929;1890;1930;0;25
Hopkins, Sir Frederick;Medicine;1861;1929;1906;1947;0;33
Landsteiner, Karl;Medicine;1868;1930;1901;1943;0;23
Warburg, Otto;Medicine;1883;1931;1922;1970;0;23
Adrian, Edgar;Medicine;1889;1932;1928;1977;0;26
Sherrington, Sir Charles;Medicine;1857;1932;1906;1952;0;29
Morgan, Thomas T.;Medicine;1866;1933;1912;1945;0;25
Minot, George R.;Medicine;1885;1934;1926;1950;0;27
Murphy, William P.;Medicine;1892;1934;1926;1987;0;30
Whipple, George H.;Medicine;1878;1934;1920;1976;0;27
Spemann, Hans;Medicine;1869;1935;1924;1941;0;26
Dale, Sir Henry;Medicine;1875;1936;1914;1968;0;34
Loewi, Otto;Medicine;1873;1936;1921;1961;0;23
